"ID";"Leeftijd";"Geboorteland";"RegioS";"Perioden";"MannenEnVrouwen_1"
"260397";"10000";"G008579";"GM0363";"2017JJ00";"    1838"
"260398";"10000";"G008579";"GM0363";"2018JJ00";"    1902"
"260399";"10000";"G008579";"GM0363";"2019JJ00";"    2043"
"278832";"10000";"G008591";"GM0363";"1996JJ00";"    1170"
"278833";"10000";"G008591";"GM0363";"1997JJ00";"    1163"
"278834";"10000";"G008591";"GM0363";"1998JJ00";"    1194"
"278835";"10000";"G008591";"GM0363";"1999JJ00";"    1265"
"278836";"10000";"G008591";"GM0363";"2000JJ00";"    1311"
"278837";"10000";"G008591";"GM0363";"2001JJ00";"    1335"
"278838";"10000";"G008591";"GM0363";"2002JJ00";"    1389"
"278839";"10000";"G008591";"GM0363";"2003JJ00";"    1381"
"278840";"10000";"G008591";"GM0363";"2004JJ00";"    1397"
"278841";"10000";"G008591";"GM0363";"2005JJ00";"    1414"
"278842";"10000";"G008591";"GM0363";"2006JJ00";"    1379"
"278843";"10000";"G008591";"GM0363";"2007JJ00";"    1397"
"278844";"10000";"G008591";"GM0363";"2008JJ00";"    1431"
"278845";"10000";"G008591";"GM0363";"2009JJ00";"    1462"
"278846";"10000";"G008591";"GM0363";"2010JJ00";"    1523"
"278847";"10000";"G008591";"GM0363";"2011JJ00";"    1543"
"278848";"10000";"G008591";"GM0363";"2012JJ00";"    1569"
"278849";"10000";"G008591";"GM0363";"2013JJ00";"    1552"
"278850";"10000";"G008591";"GM0363";"2014JJ00";"    1575"
"278851";"10000";"G008591";"GM0363";"2015JJ00";"    1592"
"278852";"10000";"G008591";"GM0363";"2016JJ00";"    1552"
"278853";"10000";"G008591";"GM0363";"2017JJ00";"    1550"
"278854";"10000";"G008591";"GM0363";"2018JJ00";"    1533"
"278855";"10000";"G008591";"GM0363";"2019JJ00";"    1556"
"297288";"10000";"G008592";"GM0363";"1996JJ00";"    7581"
"297289";"10000";"G008592";"GM0363";"1997JJ00";"    7028"
"297290";"10000";"G008592";"GM0363";"1998JJ00";"    7063"
"297291";"10000";"G008592";"GM0363";"1999JJ00";"    7064"
"297292";"10000";"G008592";"GM0363";"2000JJ00";"    7021"
"297293";"10000";"G008592";"GM0363";"2001JJ00";"    7060"
"297294";"10000";"G008592";"GM0363";"2002JJ00";"    7035"
"297295";"10000";"G008592";"GM0363";"2003JJ00";"    7129"
"297296";"10000";"G008592";"GM0363";"2004JJ00";"    7170"
"297297";"10000";"G008592";"GM0363";"2005JJ00";"    7258"
"297298";"10000";"G008592";"GM0363";"2006JJ00";"    7209"
"297299";"10000";"G008592";"GM0363";"2007JJ00";"    7183"
"297300";"10000";"G008592";"GM0363";"2008JJ00";"    7292"
"297301";"10000";"G008592";"GM0363";"2009JJ00";"    7541"
"297302";"10000";"G008592";"GM0363";"2010JJ00";"    7765"
"297303";"10000";"G008592";"GM0363";"2011JJ00";"    7976"
"297304";"10000";"G008592";"GM0363";"2012JJ00";"    8116"
"297305";"10000";"G008592";"GM0363";"2013JJ00";"    8124"
"297306";"10000";"G008592";"GM0363";"2014JJ00";"    8198"
"297307";"10000";"G008592";"GM0363";"2015JJ00";"    8434"
"297308";"10000";"G008592";"GM0363";"2016JJ00";"    8794"
"297309";"10000";"G008592";"GM0363";"2017JJ00";"    9376"
"297310";"10000";"G008592";"GM0363";"2018JJ00";"    9886"
"297311";"10000";"G008592";"GM0363";"2019JJ00";"   10253"
"315744";"10000";"G008594";"GM0363";"1996JJ00";"    2588"
"315745";"10000";"G008594";"GM0363";"1997JJ00";"    2454"
"315746";"10000";"G008594";"GM0363";"1998JJ00";"    2562"
"315747";"10000";"G008594";"GM0363";"1999JJ00";"    2762"
"315748";"10000";"G008594";"GM0363";"2000JJ00";"    2918"
"315749";"10000";"G008594";"GM0363";"2001JJ00";"    2989"
"315750";"10000";"G008594";"GM0363";"2002JJ00";"    3084"
"315751";"10000";"G008594";"GM0363";"2003JJ00";"    3253"
"315752";"10000";"G008594";"GM0363";"2004JJ00";"    3375"
"315753";"10000";"G008594";"GM0363";"2005JJ00";"    3456"
"315754";"10000";"G008594";"GM0363";"2006JJ00";"    3465"
